Botanical Names,Genus,Family,Kingdom,Clade,Leaves,Flowers,Seed,Fruits,Stems,Petioles,Roots,Bark,Rhizome,Outcome
Samyda yucatanensis,Samyda,Salicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Sansevieria roxburghiana,Sansevieria,Asparagaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,0,0,1,0
Sapindus laurifolia,Sapindus,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Sapindus mukorossi,Sapindus,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Schleichera oleosa,Schleichera,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,1,0,0
Scilla siberica,Scilla,Asparagaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Scindapsus officinalis,Scindapsus,Araceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,1,0,0,1,0,0,0
Scrophularia buergeriana,Scrophularia,Scrophulariaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Scutia myrtina,Scutia,Rhamnaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Senna multiglandulosa,Senna,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Senna obtusifolia,Senna,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,1,0,0,0,0,0,0,0
Serenoa serrulata,Serenoa,Arecaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,1,0,0,0,0,0,0
Serjania racemosa,Serjania,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,0,0,0
Sesbania grandifolia,Sesbania,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Setaria italica,Setaria,Poaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,1,0,0,0,0,0,0,0
Sida cordifolia,Sida,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,0,0,0
Sigesbeckia orientalis,Sigesbeckia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Smilax aristolochiifolia,Smilax,Smilacaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Smilax australis,Smilax,Smilacaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,0,0,0,0,0,0,0,0,0
Smilax canariensis,Smilax,Smilacaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,1,1,1,1,1,0,0,0,0
Smilax china,Smilax,Smilacaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,0,0,1,0
Smilax glyciphylla,Smilax,Smilacaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,0,0,0,0,0,0,0,0,0
Solanum diversifolium,Solanum,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Solanum lycocarpum,Solanum,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,1,0,0,0,0,0,0
Solanum seaforthianum,Solanum,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Solanum verbascifolium,Solanum,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Solenostemon rotundifolius,Solenostemon,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,1,0,0,0,0,0,0,0
Soymida febrifuga,Soymida,Meliaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Sphaeranthus indicus,Sphaeranthus,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Spondias dulcis,Spondias,Anacardiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,1,0,0
Stachytarpheta indica,Stachytarpheta,Verbenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Stachytarpheta jamaicensis,Stachytarpheta,Verbenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Stellaria media,Stellaria,Caryophyllaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Stenocereus marginatus,Stenocereus,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,0,0,0,0
Striga gesnerioides,Striga,Orobanchaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Strobilanthes crispa,Strobilanthes,Acanthaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Struthanthus densiflorus,Struthanthus,Loranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Sweetia panamensis,Sweetia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,1,0,0
Swertia japonica,Swertia,Gentianaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Swietenia humilis,Swietenia,Meliaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Symplocos cochinchinensis,Symplocos,Symplocaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Symplocos paniculata,Symplocos,Symplocaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,1,0,0,0,0,0
Syringa vulgaris,Syringa,Oleaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,1,0,0,0,0,0,0,0,0
Syzygium jambolanum,Syzygium,Myrtaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Syzygium suborbiculare,Syzygium,Myrtaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,1,1,0,0
Tagetes erecta,Tagetes,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,1,0,0,0,0,0,0
Talinum portulacifolium,Talinum,Talinaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Tapinanthus bangwensis,Tapinanthus,Loranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Taxus yunnanensis,Taxus,Taxaceae,Plantae,"Tracheophytes,Gymnosperms",0,0,0,0,0,0,0,1,0,0
Tecoma mollis,Tecoma,Bignoniaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Tetrapanax papyrifer,Tetrapanax,Araliaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Teucrium royleanum ,Teucrium,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Tillandsia usneoides,Tillandsia,Bromeliaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",1,1,1,1,1,1,1,1,1,1
Tinospora smilacina,Tinospora,Menispermaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,1,0,0,0,0,0,0,0
Torenia asiatica,Torenia,Linderniaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Tournefortia petiolaris,Tournefortia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Trema orientalis,Trema,Cannabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Tremella mesenterica,Tremella,Tremellaceae,Fungi,,0,0,0,1,0,0,0,0,0,0
Trixis radialis,Trixis,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,0,0,0,0,0,0,0,0
Turbina corymbosa,Turbina,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Urginea indica,Urginea,Asparagaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,1,1,1,1,1,1,1,1,1
Vaccinium leschenaultii,Vaccinium,Ericaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Vaccinium vitis-idaea,Vaccinium,Ericaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Vateria copallifera,Vateria,Dipterocarpaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Verbesina encelioides,Verbesina,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,1,0,0,0,0,1,0,0,0
Viburnum opulus,Viburnum,Adoxaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,1,0,0,0,0,0,0
Vigna mungo,Vigna,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Vigna subterranea,Vigna,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Vinca major,Vinca,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Vitex mollis,Vitex,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Xanthium sibiricum,Xanthium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Xylopia aethiopica,Xylopia,Annonaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,1,0,0,0,0,0,0
Yucca guatemalensis,Yucca,Asparagaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,1,0,0,0,0,0,0,0,0
Ziziphus oenoplia,Ziziphus,Rhamnaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,1,0,0
